EPOCH,ACC,LOSS
0,10.83,2.3030914306640624
10,11.68,4.816084716796875
20,75.83,0.7361378723144532
30,85.48,0.3834348449707031
40,84.83,0.43921846618652344
50,85.29,0.42041543884277344
60,87.29,0.34604848327636717
70,85.03,0.4099244201660156
80,87.57,0.3298673904418945
90,89.05,0.2972437515258789
100,87.87,0.32834258728027343
110,89.36,0.29291803894042967
120,89.44,0.2908525604248047
130,89.79,0.2989981689453125
140,90.82,0.26477144927978513
150,90.31,0.276878759765625
160,90.37,0.28056221923828123
170,89.15,0.2849152267456055
180,90.27,0.27215525817871095
190,91.26,0.2381209213256836
200,90.68,0.2640590240478516
210,90.89,0.2598616180419922
220,91.03,0.2577420303344727
230,92.06,0.22903482055664062
240,90.81,0.25329892578125
250,91.82,0.22987093658447266
260,91.46,0.24751622619628907
270,91.98,0.23153002624511718
280,90.54,0.2708553573608398
290,91.4,0.23976136779785157
299,91.91,0.2428623046875
