EPOCH,ACC,LOSS
0,10.0,2.301860986328125
10,66.49,1.3021276000976563
20,73.64,0.7476743408203125
30,82.67,0.45669544677734375
40,80.56,0.5438108825683594
50,87.24,0.3563769805908203
60,86.69,0.3650564880371094
70,88.94,0.3091685791015625
80,83.61,0.4078918975830078
90,87.98,0.32147175903320313
100,90.12,0.27579239654541016
110,88.66,0.314425390625
120,87.39,0.3468679931640625
130,88.69,0.3208755142211914
140,90.7,0.2580450836181641
150,90.53,0.25775335235595703
160,88.77,0.3025019195556641
170,90.45,0.25877703552246095
180,90.01,0.2642926681518555
190,91.01,0.24173302459716797
200,91.48,0.2348007293701172
210,90.8,0.250718489074707
220,90.95,0.24155414733886718
230,91.56,0.2298893539428711
240,90.84,0.25741788787841796
250,91.35,0.23931185913085937
260,91.18,0.23552886810302734
270,91.06,0.2505718872070313
280,91.36,0.2405815963745117
290,90.79,0.24736770629882812
299,92.16,0.21983633422851562
