EPOCH,ACC,LOSS
0,9.99,2.302670703125
10,52.82,1.962878369140625
20,68.62,0.9308535888671875
30,79.37,0.5346365814208984
40,83.94,0.42913038330078124
50,75.57,0.7428783264160156
60,86.51,0.3457464813232422
70,87.4,0.346853369140625
80,85.86,0.42529943237304685
90,87.57,0.3697153533935547
100,90.27,0.2728067108154297
110,89.06,0.30365086669921876
120,89.02,0.30722144775390625
130,89.82,0.2698658325195312
140,90.66,0.2518394973754883
150,89.79,0.2779406127929688
160,90.73,0.28878515625
170,90.73,0.25673833465576174
180,91.02,0.271172802734375
190,91.16,0.24428592834472657
200,91.33,0.2415263442993164
210,90.85,0.25479764251708986
220,91.82,0.23182281341552735
230,90.67,0.2539711196899414
240,91.42,0.24520589294433592
250,91.53,0.24003661499023438
260,91.55,0.23824341583251954
270,92.2,0.23256019134521486
280,91.83,0.2353948013305664
290,91.71,0.22607609252929686
299,91.03,0.2479307571411133
