EPOCH,ACC,LOSS
0,38.89,1.97172529296875
10,58.64,1.1667761596679687
20,63.48,1.0349029907226563
30,66.67,0.9419478637695312
40,68.92,0.8908491577148437
50,71.46,0.8230415954589844
60,72.09,0.8058222351074219
70,71.8,0.8086001770019531
80,73.36,0.7732228698730469
90,74.67,0.7434779541015625
100,75.02,0.725708642578125
110,75.95,0.6972875305175781
120,75.92,0.6974335754394532
130,76.28,0.6928158203125
140,77.41,0.6587857421875
150,78.05,0.6437497253417969
160,77.57,0.6685204162597657
170,77.76,0.6522879638671875
180,77.87,0.6455304321289063
190,78.94,0.6242937133789063
200,79.22,0.6304815490722656
210,79.35,0.6240977661132813
220,78.43,0.6630969604492187
230,79.6,0.6297170715332031
240,79.71,0.6178273193359375
250,79.68,0.6251037963867188
260,80.22,0.6126460815429687
270,80.56,0.5970567626953125
280,80.58,0.6307856140136718
290,79.7,0.6374659790039062
300,80.67,0.6276657775878907
310,80.83,0.6195401123046875
320,80.85,0.6178031066894532
330,81.08,0.6118848571777343
340,81.04,0.6374241760253906
350,80.61,0.6355330505371094
360,81.31,0.6252108703613282
370,81.54,0.6154448913574219
380,81.23,0.6291133361816407
390,81.64,0.6346078125
400,80.94,0.64861162109375
410,80.97,0.6705177673339844
420,81.14,0.6602739562988281
430,81.61,0.6351549255371094
440,81.49,0.6477265197753906
450,81.74,0.6610284729003906
460,81.37,0.6486515380859375
470,81.73,0.6589773132324219
480,81.67,0.6729613830566407
490,81.94,0.6815372924804688
500,81.6,0.671580810546875
510,81.4,0.6939372863769532
520,81.79,0.6805757202148438
530,82.2,0.674980712890625
540,81.95,0.7115973022460937
550,82.14,0.6935119445800781
560,82.04,0.7212134948730469
570,82.29,0.7055043701171875
580,82.35,0.6719541809082031
590,81.9,0.6897646484375
600,81.96,0.7129283569335938
610,82.29,0.6960216491699219
620,81.82,0.7177523742675781
630,81.66,0.7507161010742187
640,82.12,0.7287811157226562
650,81.9,0.6964396301269531
660,82.58,0.7338745666503906
670,81.83,0.75704609375
680,82.28,0.7253750061035156
690,82.16,0.7327992797851562
700,82.05,0.7299271179199218
710,82.35,0.709787109375
720,81.85,0.7312100280761719
730,81.91,0.7952645629882813
740,82.65,0.7340305114746094
750,81.73,0.7693452270507812
760,81.76,0.7352112548828125
770,82.31,0.7792858276367187
780,82.17,0.7691867736816407
790,81.91,0.7554472961425781
800,82.46,0.7700367065429687
810,82.32,0.7747497619628906
820,82.13,0.7673363708496094
830,82.08,0.7696155334472656
840,82.24,0.7878019897460937
850,82.6,0.8013638671875
860,82.9,0.7860258239746094
870,82.59,0.803451220703125
880,82.76,0.7810185302734375
890,82.24,0.7802445556640625
900,81.76,0.80894990234375
910,82.34,0.7773551147460938
920,82.53,0.8039577758789063
930,82.14,0.77582939453125
940,82.54,0.7827692687988281
950,82.26,0.8107189086914063
960,82.4,0.7951118835449219
970,82.81,0.8320617553710937
980,82.75,0.7858074157714844
990,82.48,0.78228603515625
1000,82.47,0.8357553161621094
1010,82.93,0.7861527526855469
1020,82.37,0.8162969909667969
1030,82.53,0.8137429809570312
1040,82.74,0.8273877380371094
1050,82.79,0.7923138122558594
1060,82.78,0.8242447326660156
1070,82.54,0.8350345336914062
1080,82.55,0.8397355163574218
1090,82.74,0.8501796997070312
1100,81.8,0.8165961242675781
1110,82.96,0.8480425354003907
1120,82.5,0.8165375
1130,83.06,0.8297479248046875
1140,82.8,0.7866035339355468
1150,82.66,0.8269420104980468
1160,82.69,0.815044970703125
